trial_id,outcome,correct,true_correction_rate,realized_correction_map_mean,realized_correction_map_sd,estimated_correction_rate,raw_correction_rate,sampled_k_error,realized_mean_k_error,true_coupling,estimated_coupling,raw_coupling,coupling_error,correction_hit_lower,correction_hit_upper,coupling_hit_lower,coupling_hit_upper,any_coefficient_boundary_hit,macro_dice,macro_dice_nonempty_classes,nrmse
57,0,True,1.1195662680802307,1.1102089599008347,0.1963912614872794,0.08,-0.2848586455882285,-1.0395662680802307,-1.0302089599008346,0.06303897556670678,0.6,0.7483086727201967,0.5369610244332932,True,False,False,True,True,0.9708360092176344,0.9708360092176344,0.15633660650621947
58,1,True,1.1412700571196077,1.1455661145753544,0.22626059102480284,0.08,-0.12923893244221854,-1.0612700571196076,-1.0655661145753543,0.11876627316571974,0.5545755013268776,0.5545755013268776,0.43580922816115786,True,False,False,False,True,0.9816247332330859,0.9724370998496288,0.1541250330985414
59,1,True,1.103971788877487,1.1043114124374498,0.10638543949213299,0.7126401722837885,0.7126401722837885,-0.3913316165936984,-0.3916712401536613,0.10611085309105642,0.0019671330193463594,0.0019671330193463594,-0.10414372007171006,False,False,False,False,False,0.8263247863247862,0.7394871794871795,0.21823302386972832
60,1,True,0.8865474750384523,0.8854140926577444,0.08797277907396768,0.08,-0.6340217393606812,-0.8065474750384524,-0.8054140926577444,0.23206288707558653,0.6,0.9010629469043184,0.36793711292441345,True,False,False,True,True,0.9881757346523131,0.9822636019784696,0.10001225598447887
61,1,True,0.9449921568754623,0.9433990050576593,0.07731144832902768,0.08,-0.45704915012624686,-0.8649921568754624,-0.8633990050576593,0.1574529850790735,0.6,0.8079196249430339,0.4425470149209265,True,False,False,True,True,0.9907947787032184,0.9861921680548276,0.09778445278077441
62,0,True,0.6965228310244087,0.6908499238080243,0.11000746798165154,0.31365904593604416,0.31365904593604416,-0.38286378508836455,-0.3771908778719802,0.15848474716364985,0.21942603854378404,0.21942603854378404,0.06094129138013418,False,False,False,False,False,0.604102564102564,0.604102564102564,0.18260387971980205
63,0,True,1.0885173156447991,1.0903965118568018,0.17722133334668788,0.6929199423089933,0.6929199423089933,-0.3955973733358058,-0.3974765695478084,0.13938608426101484,0.0032209624173989222,0.0032209624173989222,-0.13616512184361593,False,False,False,False,False,1.0,1.0,0.019220852804192362
64,1,True,1.1304515826523684,1.1167057741751032,0.17902886487119157,0.08,0.04803852981251274,-1.0504515826523684,-1.0367057741751031,0.1393459601826249,0.5768934689371665,0.5768934689371665,0.4375475087545416,True,False,False,False,True,0.6383018690710999,0.6383018690710999,0.17244420368325808
65,1,True,1.0595696561392831,1.0524916132787572,0.1547725810513014,0.2999920177239277,0.2999920177239277,-0.7595776384153554,-0.7524995955548295,0.062376132632296404,0.15640287156570423,0.15640287156570423,0.09402673893340782,False,False,False,False,False,1.0,1.0,0.037025064653533425
66,1,True,0.9247687329072578,0.9222539736241486,0.09712340741375339,0.28970802535935797,0.28970802535935797,-0.6350607075478998,-0.6325459482647906,0.07660428620615131,0.2754300813115039,0.2754300813115039,0.19882579510535262,False,False,False,False,False,0.9934223900289648,0.9901335850434472,0.05560463167233053
67,1,True,1.068490419224756,1.0791732357389732,0.12658860745435435,0.08,-0.3005675255355332,-0.988490419224756,-0.9991732357389732,0.1933258596211916,0.6,1.020013043350191,0.4066741403788084,True,False,False,True,True,0.6344744035785288,0.6344744035785288,0.17911881580281577
68,1,True,0.669261150214153,0.671118771427995,0.06012255435927675,0.08,-0.38804333462367474,-0.589261150214153,-0.5911187714279951,0.21852699269627157,0.6,0.8022404052551274,0.3814730073037284,True,False,False,True,True,0.6489352881122288,0.6489352881122288,0.10433154266301752
69,0,True,1.0229822017788373,1.0232083043549225,0.11192708379819359,0.2540655648930625,0.2540655648930625,-0.7689166368857747,-0.76914273946186,0.09518374262020743,0.2556028671214036,0.2556028671214036,0.1604191245011962,False,False,False,False,False,0.8932273964540572,0.8932273964540572,0.10821419081173007
70,0,True,0.6814813650346776,0.6742432875557027,0.13189659347394933,0.08,-0.02752594091845379,-0.6014813650346776,-0.5942432875557028,0.11867776019587037,0.35035124407901697,0.35035124407901697,0.2316734838831466,True,False,False,False,True,0.8787835695981276,0.8787835695981276,0.13559574796997537
71,1,True,0.8230596182113923,0.8216951347146966,0.1734685757615263,0.08,-0.5791548421554653,-0.7430596182113923,-0.7416951347146966,0.2271166296218123,0.6,0.8546233663707339,0.37288337037818764,True,False,False,True,True,0.6482765062327543,0.6482765062327543,0.12834696310944532
72,1,True,0.681808204630927,0.6850448119498266,0.09295631140087056,0.08,-0.22291179204256553,-0.601808204630927,-0.6050448119498266,0.14457266299805688,0.5444204233530813,0.5444204233530813,0.3998477603550244,True,False,False,False,True,0.9960549051585222,0.9940823577377833,0.09389918710403168
73,0,True,0.8842176561967223,0.8785117383251458,0.08283470966337184,0.28010526950938897,0.28010526950938897,-0.6041123866873334,-0.5984064688157569,0.21577999630982117,0.3349925097606325,0.3349925097606325,0.11921251345081132,False,False,False,False,False,0.604102564102564,0.604102564102564,0.22330288715091234
74,0,False,0.862475557397675,0.8582385144293158,0.1143989441377303,0.7590583915044605,0.7590583915044605,-0.10341716589321448,-0.09918012292485523,0.11299587473539931,0.0,-0.212559292766841,-0.11299587473539931,False,False,True,False,True,0.604102564102564,0.604102564102564,0.24893064928664502
75,1,True,0.7605888986406899,0.7642393815215284,0.07295430551568405,0.08,-0.21296976170801862,-0.6805888986406899,-0.6842393815215284,0.17628878697770395,0.582583904717342,0.582583904717342,0.40629511773963806,True,False,False,False,True,0.9855597720263222,0.9783396580394832,0.157907239597467
76,0,True,0.7244013378186699,0.7172430516462701,0.1424055255213672,0.12017290879087048,0.12017290879087048,-0.6042284290277994,-0.5970701428553996,0.1493349352971897,0.2959138875174897,0.2959138875174897,0.1465789522203,False,False,False,False,False,0.8997463357199131,0.8997463357199131,0.11203006040221948
77,1,True,0.7926982904929752,0.7915504013582674,0.09144980318491816,0.11806698245903076,0.11806698245903076,-0.6746313080339444,-0.6734834188992366,0.21873859906639545,0.39711458724334253,0.39711458724334253,0.17837598817694708,False,False,False,False,False,0.651566699290053,0.651566699290053,0.14699126404726132
78,1,True,0.7809799924686898,0.7815457901968375,0.0726220467049268,0.08,0.04231115161951061,-0.7009799924686898,-0.7015457901968375,0.08071150434052683,0.30431950412062775,0.30431950412062775,0.22360799978010093,True,False,False,False,True,0.9816247332330859,0.9724370998496288,0.16182997997792137
79,0,True,1.0404476509858083,1.0435339506263934,0.10963344385354443,0.08,-0.21226935645099476,-0.9604476509858083,-0.9635339506263935,0.2121881450180741,0.6,0.7895908285836617,0.3878118549819259,True,False,False,True,True,0.9322145186341717,0.9322145186341717,0.12115708174154322
80,1,True,0.6231487304629524,0.622256014420684,0.10153996846086837,0.1993085872293304,0.1993085872293304,-0.42384014323362196,-0.4229474271913536,0.2252950016467869,0.30996393838053243,0.30996393838053243,0.08466893673374554,False,False,False,False,False,0.832806180793797,0.7492092711906954,0.17321316364096281
81,1,True,1.0450520614066983,1.038835937889806,0.1663727610615095,0.08,-0.6273241825976393,-0.9650520614066983,-0.958835937889806,0.20418851794544024,0.6,1.0632458866911798,0.39581148205455974,True,False,False,True,True,0.6384012400584659,0.6384012400584659,0.13606467278142495
82,0,True,0.7831720473693942,0.7860920803074257,0.13151480691846992,0.36675601914928446,0.36675601914928446,-0.4164160282201097,-0.41933606115814126,0.08999506329595369,0.11896188318244481,0.11896188318244481,0.02896681988649112,False,False,False,False,False,1.0,1.0,0.04463746116714352
83,1,True,1.0545686090200355,1.0550159816966587,0.200555066939565,0.08,-1.1303280645597322,-0.9745686090200355,-0.9750159816966587,0.10354679331549878,0.6,1.3502158832369315,0.4964532066845012,True,False,False,True,True,0.935991935991936,0.903987903987904,0.13250751200746827
84,0,True,0.7599239230665237,0.7503530238626006,0.1530380251721581,0.08,-0.4850482074727704,-0.6799239230665237,-0.6703530238626006,0.07084895261290958,0.6,0.7622014742699235,0.5291510473870904,True,False,False,True,True,0.9746248467149593,0.9746248467149593,0.1388018774674044
85,1,True,0.6697261759869144,0.6699822290714098,0.14713326118725784,0.08,-0.510185484711649,-0.5897261759869145,-0.5899822290714098,0.08461202682281616,0.6,0.6916968385304832,0.5153879731771838,True,False,False,True,True,0.6449916315606751,0.6449916315606751,0.1485381934386059
86,0,True,1.0010649823853395,1.00896068063067,0.193083216449181,0.16024916849536988,0.16024916849536988,-0.8408158138899696,-0.8487115121353,0.11387608719172918,0.34346905384255916,0.34346905384255916,0.22959296665082998,False,False,False,False,False,0.9747245413219497,0.9747245413219497,0.14372788096056027
87,0,True,1.0147148184767647,1.0114978441503226,0.1985685054442181,0.14776526832163991,0.14776526832163991,-0.8669495501551248,-0.8637325758286827,0.15957575359147472,0.2916525342050927,0.2916525342050927,0.13207678061361797,False,False,False,False,False,0.9747245413219497,0.9747245413219497,0.13734949491721224
88,0,True,0.6067917944747316,0.6101288400659195,0.12378772162500443,0.08,0.02833405336867429,-0.5267917944747317,-0.5301288400659195,0.1796887188745253,0.37727586428786114,0.37727586428786114,0.19758714541333583,True,False,False,False,True,0.9575446940240152,0.9575446940240152,0.16152517686893794
89,1,True,0.6870841882996118,0.6895962095302647,0.12351577978811945,0.08,-0.6155920625886303,-0.6070841882996119,-0.6095962095302647,0.09759787811630943,0.6,0.8516052185341381,0.5024021218836905,True,False,False,True,True,0.6555099757598359,0.6555099757598359,0.12242800484397376
90,0,True,1.1384284083081628,1.1388069755516443,0.1174953144557666,0.08,0.03179415739104714,-1.0584284083081628,-1.0588069755516443,0.17637231012917876,0.6,0.6378632652202112,0.4236276898708212,True,False,False,True,True,0.97231561392537,0.97231561392537,0.1359301854839218
91,0,True,0.697132997755234,0.7006288133812102,0.10239247563080388,0.08,-0.20432141192168432,-0.617132997755234,-0.6206288133812102,0.06379949463710387,0.6,0.6059578856909281,0.5362005053628961,True,False,False,True,True,0.9287331628455577,0.9287331628455577,0.1891847188215346
92,0,True,0.6944191415031374,0.6993743177772979,0.12791607864651874,0.08,-0.10954221625005828,-0.6144191415031375,-0.6193743177772979,0.1732678347313484,0.5073824206844292,0.5073824206844292,0.33411458595308074,True,False,False,False,True,0.9782714884283835,0.9782714884283835,0.1495568698760251
93,0,True,0.9724711986397586,0.976162613662019,0.17046467423832967,0.08,-0.0736730765187293,-0.8924711986397587,-0.896162613662019,0.10562980562705596,0.6,0.6368975372899482,0.49437019437294405,True,False,False,True,True,0.9881685823754789,0.9881685823754789,0.14872671123521503
94,0,True,0.6527038165150589,0.6450802726161098,0.05345859281820148,0.08,-0.3691103677013517,-0.572703816515059,-0.5650802726161098,0.0956050254785814,0.6,0.6151488661574637,0.5043949745214186,True,False,False,True,True,0.9745069853627683,0.9745069853627683,0.14480797703388135
95,1,False,0.7143388426485646,0.7233503162798945,0.14680416381270123,0.22655282384842754,0.22655282384842754,-0.48778601880013706,-0.496797492431467,0.20458415327282198,0.3006668129151566,0.3006668129151566,0.09608265964233464,False,False,False,False,False,0.8263247863247862,0.7394871794871795,0.264973367459048
96,0,True,1.04972036338371,1.0498565322163251,0.10175201737187392,0.948887814981944,0.948887814981944,-0.10083254840176603,-0.10096871723438117,0.18490649816814517,0.0,-0.22260783672244228,-0.18490649816814517,False,False,True,False,True,0.604102564102564,0.604102564102564,0.20675628501878632
97,0,True,1.1205442162414765,1.121561780385867,0.166982616446873,0.08,-0.24274793369330583,-1.0405442162414764,-1.041561780385867,0.062363609708034194,0.589143434705221,0.589143434705221,0.5267798249971868,True,False,False,False,True,0.9727231110430887,0.9727231110430887,0.1658646452880302
98,1,False,1.1394938730375275,1.1447203676912716,0.19106225511804723,1.1574066618643568,1.1574066618643568,0.01791278882682934,0.0126862941730852,0.19810331281535806,0.0,-0.33041446054786633,-0.19810331281535806,False,False,True,False,True,0.8263247863247862,0.7394871794871795,0.2413190372369226
99,1,True,0.9242204841562852,0.9203652265742068,0.18497586843418723,0.5888869239260299,0.5888869239260299,-0.3353335602302553,-0.3314783026481769,0.20569492947054485,0.0,-0.005175558337898846,-0.20569492947054485,False,False,True,False,True,1.0,1.0,0.026582270947211082
100,0,True,0.9605008146636529,0.9587137176694123,0.10607441612061369,0.08,-0.02709260159563024,-0.8805008146636529,-0.8787137176694123,0.20306741879061574,0.47262871704521764,0.47262871704521764,0.2695612982546019,True,False,False,False,True,0.9536633067914101,0.9536633067914101,0.1718796964544178
101,0,True,0.6028321400253167,0.6052871865799039,0.06563265932651652,0.08,-0.2550189869656307,-0.5228321400253167,-0.5252871865799039,0.13889460432303297,0.5577051694342544,0.5577051694342544,0.41881056511122144,True,False,False,False,True,0.9802754925705744,0.9802754925705744,0.1421278629698179
102,0,True,0.7364924677322889,0.7339417742702107,0.12856685946412547,0.4739713706701404,0.4739713706701404,-0.26252109706214855,-0.2599704036000703,0.08732039456119121,0.008961011151189795,0.008961011151189795,-0.07835938341000143,False,False,False,False,False,0.604102564102564,0.604102564102564,0.20672153009808356
103,0,True,0.7750229124174142,0.7793700376976386,0.11526057171560973,0.08,-0.3716003631583697,-0.6950229124174142,-0.6993700376976386,0.07849514426246491,0.5987912692666202,0.5987912692666202,0.5202961250041552,True,False,False,False,True,0.988118689977838,0.988118689977838,0.12567261404390312
104,1,True,0.9695365750602337,0.9547590736612501,0.20816686022754258,0.3954992743470501,0.3954992743470501,-0.5740373007131836,-0.5592597993142,0.2383672018845869,0.19989405605839541,0.19989405605839541,-0.03847314582619149,False,False,False,False,False,0.8263247863247862,0.7394871794871795,0.21418741490779805
105,0,True,0.6967449996107786,0.692438763220129,0.10457648159526099,0.08094589081397335,0.08094589081397335,-0.6157991087968053,-0.6114928724061557,0.12930197812572594,0.2620965606137524,0.2620965606137524,0.13279458248802647,False,False,False,False,False,0.9687854509359046,0.9687854509359046,0.16076386422812708
106,1,True,0.931672900001094,0.9334287599267354,0.07904489584766185,0.08,-0.7576116362242337,-0.8516729000010941,-0.8534287599267354,0.14598271213268782,0.6,1.1005595680041402,0.45401728786731216,True,False,False,True,True,0.6515663736759071,0.6515663736759071,0.13055767862514342
107,0,True,0.7567011875856063,0.7572423589622914,0.1174346221443643,0.08,-0.9015494996566935,-0.6767011875856064,-0.6772423589622915,0.12424810324142249,0.6,1.096652246608092,0.4757518967585775,True,False,False,True,True,0.7572196067073923,0.7572196067073923,0.187634385945619
108,1,True,0.6856820902514064,0.6921448388747324,0.13794149420970298,0.08,-0.5241118019403999,-0.6056820902514064,-0.6121448388747325,0.17513126758078573,0.6,0.738593885721126,0.42486873241921425,True,False,False,True,True,0.9908056319382768,0.9862084479074151,0.13058222843737766
109,0,True,1.1478481800962965,1.1550340030816857,0.12659676727392896,0.33902746002838613,0.33902746002838613,-0.8088207200679104,-0.8160065430532996,0.22156187209391068,0.37420969413922744,0.37420969413922744,0.15264782204531677,False,False,False,False,False,0.9602735459408219,0.9602735459408219,0.08956119561615508
110,1,True,0.6691312109691936,0.6681178801385819,0.0856579165350241,0.08,-0.16248811229303825,-0.5891312109691936,-0.5881178801385819,0.07517918617148935,0.46332641692937987,0.46332641692937987,0.38814723075789054,True,False,False,False,True,0.6436484979845783,0.6436484979845783,0.1602184002094727
111,1,True,0.8965832048386501,0.8949629471911886,0.07987660240553526,0.08,-0.42514371037797133,-0.8165832048386501,-0.8149629471911887,0.23575322480439673,0.6,0.9763266949929922,0.3642467751956032,True,False,False,True,True,0.6443323053920195,0.6443323053920195,0.11696204877206236
112,1,True,0.8957302192810161,0.8792596884969076,0.17383084438521457,0.08,-0.10249306682664336,-0.8157302192810162,-0.7992596884969076,0.09189210965449088,0.45569869598889884,0.45569869598889884,0.363806586334408,True,False,False,False,True,0.6463104918567534,0.6463104918567534,0.16629350412992233
113,1,True,0.9111485840309614,0.9116598635329463,0.1889282214837882,0.08,-0.0751434916248386,-0.8311485840309615,-0.8316598635329463,0.09415683977416864,0.45649143232210054,0.45649143232210054,0.3623345925479319,True,False,False,False,True,0.650252427184466,0.650252427184466,0.15203766442659578
114,1,True,0.9284116197268645,0.9314156900995175,0.21079195335542222,0.08,-0.005737413537249772,-0.8484116197268645,-0.8514156900995176,0.1833617015342791,0.42694120298896754,0.42694120298896754,0.24357950145468843,True,False,False,False,True,0.9658745045757309,0.9488117568635962,0.18919936236548165
115,1,True,0.7624079181365131,0.7592465140714425,0.15727996518206155,0.4499213568175878,0.4499213568175878,-0.31248656131892527,-0.3093251572538547,0.2124374445638934,0.1403007459428596,0.1403007459428596,-0.0721366986210338,False,False,False,False,False,0.8263247863247862,0.7394871794871795,0.22365468940854769
116,1,True,0.9657284292952515,0.9703662136680183,0.17145891273931718,0.08,-0.08006258762778123,-0.8857284292952515,-0.8903662136680184,0.23045374499733645,0.5636949292275543,0.5636949292275543,0.3332411842302178,True,False,False,False,True,0.9750655201765976,0.9625982802648966,0.16108510169813464
117,1,True,0.8453936748744115,0.8466780805157931,0.07766221541750787,0.39053291325230544,0.39053291325230544,-0.4548607616221061,-0.45614516726348764,0.2223431214072253,0.28847185155482596,0.28847185155482596,0.06612873014760065,False,False,False,False,False,0.8715995026396787,0.8073992539595181,0.12537504114424095
