trial_id,initial_side,outcome,q0,distance_from_separatrix,damage_fraction_requested,damage_fraction_realized,correction_rate,coupling,memory_rate,memory_noise,process_noise,correction_heterogeneity_cv,correction_map_mean,correction_map_sd,correction_map_min,correction_map_max,target_separation_scale,target_overlap_sd,target_overlap_offset,outcome_target_selector
50,1,0,0.5078762215147656,0.007876221514765625,0.24438533274251556,0.2677165354330709,0.9203605161858295,0.21105132227594095,1.6036895027382543,0.26982526800397355,0.007087605833788056,0.12102000229134041,0.9214897010378955,0.11133461239579757,0.4745037881925406,1.2662235930112595,1.0,0.0,0.0,0.0
51,0,1,0.490106605203351,0.009893394796649043,0.2740047420289309,0.2952755905511811,1.0879231079969731,0.227906043741552,2.547022943355495,0.15071402411049975,0.009581440197966778,0.19316190647281362,1.0886862540672384,0.21077850034282145,0.2876000409476847,1.6542771231608493,1.0,0.0,0.0,1.0
52,1,1,0.5117941033949551,0.011794103394955159,0.5016479216142478,0.531496062992126,1.143702171083797,0.10067219081345376,2.1026845371695755,0.19232107396702758,0.006647698416506337,0.1150377783018812,1.1478217977220613,0.1257931893642834,0.748112758298567,1.5270847042747833,1.0,0.0,0.0,1.0
53,1,1,0.5353902559328697,0.035390255932869694,0.4137083596869714,0.43700787401574803,0.6031196152864442,0.22583722203330636,2.5391161969739584,0.20044403758251897,0.010460498510021319,0.09456408030755067,0.6047019090568414,0.058017158125471466,0.3963308007559721,0.7876640242883561,1.0,0.0,0.0,1.0
54,0,1,0.45762776747037337,0.04237223252962664,0.4763292364169789,0.5,0.6166958098110689,0.0657969202331261,2.7263068770018264,0.2209485189933626,0.007746819217078175,0.15776320861049564,0.6170947581796259,0.09958860050713327,0.3030702137787995,0.8689580648142523,1.0,0.0,0.0,1.0
55,0,0,0.49298341475255253,0.00701658524744748,0.48116358699176537,0.5,0.9746832671295694,0.19628814997384317,2.2460557401191483,0.1840508130191918,0.00662795005373567,0.09037014129913071,0.9779435368659921,0.08882945792532804,0.7139811795071231,1.2398693079478897,1.0,0.0,0.0,0.0
56,1,1,0.828402127920558,0.32840212792055806,0.4068258721289155,0.43700787401574803,0.6817299750795618,0.15262139524255047,2.8821070447191453,0.20132553467491174,0.006810282718036581,0.14379244561425547,0.6778316947837182,0.09260848567538395,0.4059038980182131,1.0130630305700914,1.0,0.0,0.0,1.0
57,1,0,0.5094946867244299,0.009494686724429848,0.3395688195733673,0.35039370078740156,1.1195662680802307,0.06303897556670678,2.7519700415749058,0.20195495859538987,0.0033488201698184724,0.17627156729306095,1.1102089599008347,0.1963912614872794,0.6204427995594884,1.780076087451937,1.0,0.0,0.0,0.0
58,1,1,0.5859827470833696,0.08598274708336967,0.29009082109712636,0.2952755905511811,1.1412700571196077,0.11876627316571974,1.5001550413290183,0.2957326136511721,0.010704715080151417,0.19188080234701138,1.1455661145753544,0.22626059102480284,0.4578154321262865,1.7376374080010943,1.0,0.0,0.0,1.0
59,0,1,0.4546013614864298,0.045398638513570205,0.1877347606911964,0.2125984251968504,1.103971788877487,0.10611085309105642,1.8155528145454753,0.26150773846570163,0.01013843645153419,0.09695458645649417,1.1043114124374498,0.10638543949213299,0.7565597212684991,1.3897738622453182,1.0,0.0,0.0,1.0
60,1,1,0.5503458817317934,0.05034588173179345,0.27726700784142977,0.2952755905511811,0.8865474750384523,0.23206288707558653,2.2469620917974837,0.26467816806767225,0.003644589288481542,0.10047018074366289,0.8854140926577444,0.08797277907396768,0.6578661050451506,1.197785801186488,1.0,0.0,0.0,1.0
61,0,1,0.4781501171650206,0.02184988283497939,0.27848046815974825,0.2952755905511811,0.9449921568754623,0.1574529850790735,2.807779733953821,0.2882251473206259,0.009921687679346354,0.08233891301340804,0.9433990050576593,0.07731144832902768,0.7028652533150663,1.2338647372058702,1.0,0.0,0.0,1.0
62,0,0,0.43726824333899106,0.06273175666100894,0.20642302917300065,0.2125984251968504,0.6965228310244087,0.15848474716364985,2.0285205799605635,0.19982070580483946,0.009668368825403832,0.16447296719193133,0.6908499238080243,0.11000746798165154,0.4044752136006996,1.019572832196183,1.0,0.0,0.0,0.0
63,0,0,0.18508569667014502,0.314914303329855,0.45566855413101887,0.468503937007874,1.0885173156447991,0.13938608426101484,2.7140763305676567,0.1811951444242702,0.004721838631021188,0.1710501036782252,1.0903965118568018,0.17722133334668788,0.5444554392015755,1.6461133219116686,1.0,0.0,0.0,0.0
