trial_id,measurement_noise,outcome,distance_from_separatrix,earliest_stable_fraction,confidence_margin
90,0.15,0,0.0068741805868447,0.1,0.15
91,0.0,0,0.04834225787532955,0.3,0.15
91,0.02,0,0.04834225787532955,0.3,0.15
91,0.05,0,0.04834225787532955,0.3,0.15
91,0.1,0,0.04834225787532955,0.3,0.15
91,0.15,0,0.04834225787532955,0.2,0.15
92,0.0,0,0.05736897957005823,0.05,0.15
92,0.02,0,0.05736897957005823,0.1,0.15
92,0.05,0,0.05736897957005823,0.05,0.15
92,0.1,0,0.05736897957005823,0.05,0.15
92,0.15,0,0.05736897957005823,0.1,0.15
93,0.0,0,0.09957374445504923,0.05,0.15
93,0.02,0,0.09957374445504923,0.05,0.15
93,0.05,0,0.09957374445504923,0.05,0.15
93,0.1,0,0.09957374445504923,0.05,0.15
93,0.15,0,0.09957374445504923,0.05,0.15
94,0.0,0,0.029568677132033375,0.05,0.15
94,0.02,0,0.029568677132033375,0.05,0.15
94,0.05,0,0.029568677132033375,0.05,0.15
94,0.1,0,0.029568677132033375,0.1,0.15
94,0.15,0,0.029568677132033375,0.1,0.15
95,0.0,1,0.008086644213933904,,0.15
95,0.02,1,0.008086644213933904,,0.15
95,0.05,1,0.008086644213933904,,0.15
95,0.1,1,0.008086644213933904,0.5,0.15
95,0.15,1,0.008086644213933904,,0.15
96,0.0,0,0.014135671070015883,0.5,0.15
96,0.02,0,0.014135671070015883,0.5,0.15
96,0.05,0,0.014135671070015883,0.5,0.15
96,0.1,0,0.014135671070015883,0.5,0.15
96,0.15,0,0.014135671070015883,0.5,0.15
97,0.0,0,0.06751561508080203,0.1,0.15
97,0.02,0,0.06751561508080203,0.1,0.15
97,0.05,0,0.06751561508080203,0.1,0.15
97,0.1,0,0.06751561508080203,0.05,0.15
97,0.15,0,0.06751561508080203,0.1,0.15
98,0.0,1,0.019375315419159576,0.5,0.15
98,0.02,1,0.019375315419159576,0.5,0.15
98,0.05,1,0.019375315419159576,0.5,0.15
98,0.1,1,0.019375315419159576,0.5,0.15
98,0.15,1,0.019375315419159576,0.5,0.15
99,0.0,1,0.3275347149109683,0.05,0.15
99,0.02,1,0.3275347149109683,0.05,0.15
99,0.05,1,0.3275347149109683,0.05,0.15
99,0.1,1,0.3275347149109683,0.05,0.15
99,0.15,1,0.3275347149109683,0.05,0.15
100,0.0,0,0.10532588295057006,0.05,0.15
100,0.02,0,0.10532588295057006,0.05,0.15
100,0.05,0,0.10532588295057006,0.05,0.15
100,0.1,0,0.10532588295057006,0.05,0.15
100,0.15,0,0.10532588295057006,0.05,0.15
101,0.0,0,0.017472676414815248,0.05,0.15
101,0.02,0,0.017472676414815248,0.05,0.15
101,0.05,0,0.017472676414815248,0.05,0.15
101,0.1,0,0.017472676414815248,0.05,0.15
101,0.15,0,0.017472676414815248,0.1,0.15
102,0.0,0,0.032695851157344455,,0.15
102,0.02,0,0.032695851157344455,,0.15
102,0.05,0,0.032695851157344455,,0.15
102,0.1,0,0.032695851157344455,,0.15
102,0.15,0,0.032695851157344455,,0.15
103,0.0,0,0.053623291140409174,0.15,0.15
103,0.02,0,0.053623291140409174,0.15,0.15
103,0.05,0,0.053623291140409174,0.15,0.15
103,0.1,0,0.053623291140409174,0.15,0.15
103,0.15,0,0.053623291140409174,0.15,0.15
104,0.0,1,0.005161302512932755,0.5,0.15
104,0.02,1,0.005161302512932755,0.5,0.15
104,0.05,1,0.005161302512932755,0.5,0.15
104,0.1,1,0.005161302512932755,0.5,0.15
104,0.15,1,0.005161302512932755,0.5,0.15
105,0.0,0,0.16693504696290376,0.05,0.15
105,0.02,0,0.16693504696290376,0.05,0.15
105,0.05,0,0.16693504696290376,0.05,0.15
105,0.1,0,0.16693504696290376,0.05,0.15
105,0.15,0,0.16693504696290376,0.05,0.15
106,0.0,1,0.044378217235562324,0.2,0.15
106,0.02,1,0.044378217235562324,0.2,0.15
106,0.05,1,0.044378217235562324,0.2,0.15
106,0.1,1,0.044378217235562324,0.2,0.15
106,0.15,1,0.044378217235562324,0.2,0.15
107,0.0,0,0.01982318499076754,0.3,0.15
107,0.02,0,0.01982318499076754,0.5,0.15
107,0.05,0,0.01982318499076754,0.3,0.15
107,0.1,0,0.01982318499076754,0.3,0.15
107,0.15,0,0.01982318499076754,0.3,0.15
108,0.0,1,0.00933072324479863,0.15,0.15
108,0.02,1,0.00933072324479863,0.15,0.15
108,0.05,1,0.00933072324479863,0.15,0.15
108,0.1,1,0.00933072324479863,0.05,0.15
108,0.15,1,0.00933072324479863,0.1,0.15
109,0.0,0,0.16693037477536482,0.1,0.15
109,0.02,0,0.16693037477536482,0.1,0.15
109,0.05,0,0.16693037477536482,0.05,0.15
109,0.1,0,0.16693037477536482,0.05,0.15
109,0.15,0,0.16693037477536482,0.05,0.15
110,0.0,1,0.025308725431599493,0.05,0.15
110,0.02,1,0.025308725431599493,0.05,0.15
110,0.05,1,0.025308725431599493,0.05,0.15
110,0.1,1,0.025308725431599493,0.05,0.15
110,0.15,1,0.025308725431599493,0.1,0.15
111,0.0,1,0.029419044948811382,0.2,0.15
